-18:46,しゅさいがわ！
42:09,CRカップじゃない？
42:09,seaR魚塚
42:12,CRカップメンツ
42:12,CRカップヴァロよ
42:13,しーあーるw
42:13,うおつかさん達はCRカップだよ
42:15,crだよ
42:16,CRこのメンツだよね
42:16,CR\u3000そのメンツじゃなかったっけ
42:23,CR cup??
42:23,何のゲームヴァロ
42:27,CRカップだね
42:27,わからんヴァロw
42:29,まんまCRカップヴァロねぇ
42:32,出るヴァロ？
42:32,今回のcrカップ
42:32,ヴァロか〜
42:35,えぐ
42:36,CRカップだね
42:37,まんた先生valoやる時間あるんか
42:39,弓うまい
42:40,まんた先生うま！
42:42,えっぐぅ
42:48,CRカップメンバーですね
42:51,うんま
42:57,弓で敵いたぶるの楽しいんよなぁ
42:58,出るヴァロ 悪くない
42:59,まんた先生エイムめっちゃいいよな
42:59,まんた先生漫画は大丈夫なんか
43:01,まんた先生うまい
43:01,CRカップ
43:01,弓マジで簡単なのに強スンギだからな
43:02,弓ほんとぶっ壊れだわｗ
43:09,しろまんた先生の締め切り激ローだったりしない？
43:47,さすがにカスタム中に担当なら電凸はこないでしょ‥
44:02,ナイス蘇生
44:04,ナイス蘇生
44:05,にゃらか上手い
44:14,担当がロビーに待機してるかもしれない…
44:19,密度が高すぎる
44:23,そういや、奈羅花様は苦手言うてたジブなのか
44:23,にゃらかがジブ使ってる！？
44:26,やっぱエイムゴリラじゃねえか！！
44:39,おお！間に合った
44:40,ナイス蘇生
44:47,おお
44:49,これは立て直せるな
44:52,にゃらジブはめずらしい
44:59,ペンギン狩りだ
45:02,よく立て直したなあ
45:17,エイムエグい
45:31,当て感やばいんよ、ウォッカさん
45:34,ウォッカさんとにゃらかのフォーカスとか無理ゲーすぎるw
45:34,つっよ
45:38,カービンえぐすんぎ
45:39,うおつかさん7キルえぐ
45:42,7キルってつよ
45:51,うぉっかさんつええ
46:03,綺麗なAIMをしてる
46:04,ボラちゃんのレイスみたいな
46:11,와 한국인이 한명도 없구나
46:13,3人とも強すぎる
46:14,まんた先生すげー！
46:19,まんた先生も上手だな～
46:24,なお締め切りの捌きは…
46:34,あっ
46:36,あれるさんか
46:40,うおつかさーん
46:46,にゃらかー！！
46:55,포탈 ㅋㅋ
46:57,にゃらなーー、
46:58,おお
46:59,上かｗ
47:01,으아!!
47:01,おしいいい
47:01,おしいいいいい
47:01,浮いてるw
47:02,おしいいいいい
47:02,おしいーーー！！
47:03,おっしいいい
47:03,惜しい
47:03,까비 ㅋㅋㅋㅋㅋㅋㅋ
47:03,うわああああああ
47:03,아까비
47:05,いまきたこんボラ～
47:06,おしい！
47:06,Death from Above lmao
47:07,おしいいいい
47:08,上からだ！！
47:08,うま
47:09,上におったんか！
47:10,にゃらー！
47:10,おしい
47:11,발키리!!!
47:14,にゃらか！
47:18,GG
47:18,おしい
47:19,このヴァルキリー一体どこにいたんだ！？
47:23,空から！？？！？！
47:23,NF GG!!
47:24,うまーー
47:26,GG
47:27,ナイスファイトGG！
47:27,GG
47:27,おおおおお
47:28,ヴァルキリーは？
47:33,オクタンｗ
47:33,歓喜の舞ｗ
47:33,gg
47:35,てかどっから来たw
47:36,エモートいいね
47:41,アーマー割れてなかったらあったなー
47:46,ナイファイGG
47:50,gg
47:52,はぇー
48:10,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
48:12,角笛w
48:12,ㅋㅋㅋㅋㅋㅋㅋ
48:15,火葬で草
48:15,🤣🤣🤣👍
48:19,めっちゃいいこれww
48:22,これは煽りｗ
48:24,草
48:24,燃やすからｗ
48:25,gg
48:26,草
48:28,相手からは見えないのよね
48:28,노아쟝 바로 구입 ㅋㅋㅋ
48:28,草
48:30,🔥🔥🔥
48:35,C用かな？ｗ
48:38,これラスさんめっちゃ気に入ってランクでやりまくってて可愛かった笑笑
48:42,ダウンした相手にゴルフｗ
48:51,しっかり見てるねーｗ
48:51,これめっちゃ笑えるww
48:51,발상이 ㅋㅋㅋㅋㅋ
48:53,草
48:53,ジブのゴールドエモート見て
48:54,レヴのエフェクト出るのてぇてぇ
48:56,草
48:58,みんゴルやんｗ
